Business Process,Risk Title,Status,Risk: Owner Name,Control: Owner,Design Assessment,Operation Assessment,Inherent Score,Residual Score,Control: Status,Last Control Assessment,Control: Number,Control: Name,Control: Description
ICT Asset & Configuration Management,Asset data integrity gaps,Open,Risk Owner A,Control Owner 1,Green,Green,20,10,Implemented,2026-06-30,CTRL-1001,LocPol — Asset inventory completeness [LP-01 PS01],Anonymised control operationalising LP-01 PS01.
ICT Asset & Configuration Management,Asset data integrity gaps,Open,Risk Owner B,Control Owner 2,Green,Green,20,10,Implemented,2026-06-30,CTRL-1002,GrpStd — Secure configuration baseline [GS-01 SR01],Anonymised control operationalising GS-01 SR01.
ICT Asset & Configuration Management,Asset data integrity gaps,Open,Risk Owner C,Control Owner 3,Grey,Grey,20,10,Not implemented,,CTRL-1003,LocPol — Asset ownership assignment [LP-01 PS02],Anonymised control operationalising LP-01 PS02.
ICT Change Management,Unauthorised or failed change,Open,Risk Owner D,Control Owner 4,Amber,Green,20,15,Implemented,2026-06-30,CTRL-1004,Change risk assessment gate [LP-02 PS01],Anonymised control operationalising LP-02 PS01.
ICT Incident Management,Delayed incident response,Open,Risk Owner E,Control Owner 5,Amber,Amber,22,14,Implemented,2026-06-30,CTRL-1005,LocPol — Incident severity classification [LP-03 PS01],Anonymised control operationalising LP-03 PS01.
ICT Incident Management,Delayed incident response,Open,Risk Owner F,Control Owner 6,Green,Green,22,14,Implemented,2026-06-30,CTRL-1006,GrpStd — Major-incident escalation [GS-02 SR01],Anonymised control operationalising GS-02 SR01.
ICT Third-Party Risk Management,Critical provider concentration,Open,Risk Owner A,Control Owner 7,Grey,Grey,24,22,Not implemented,,CTRL-1007,LocPol — Critical-provider register [LP-04 PS01],Anonymised control operationalising LP-04 PS01.
ICT Vulnerability Management,Exploitable unpatched systems,Open,Risk Owner B,Control Owner 1,Green,Green,20,12,Implemented,2026-06-30,CTRL-1008,LocPol — Vulnerability scan schedule [LP-05 PS01],Anonymised control operationalising LP-05 PS01.
ICT Vulnerability Management,Exploitable unpatched systems,Open,Risk Owner C,Control Owner 2,Amber,Grey,20,12,Not implemented,,CTRL-1009,GrpStd — Patch SLA enforcement [GS-03 SR01],Anonymised control operationalising GS-03 SR01.
ICT Access Control Management,Excess privileged access,Open,Risk Owner D,Control Owner 3,Grey,Amber,23,20,Implemented,2026-06-30,CTRL-1010,LocPol — Privileged-access restriction [LP-06 PS02],Anonymised control operationalising LP-06 PS02.
ICT Access Control Management,Excess privileged access,Open,Risk Owner E,Control Owner 4,Green,Green,23,20,Implemented,2026-06-30,CTRL-1011,Quarterly access recertification [LP-06 PS01],Anonymised control operationalising LP-06 PS01.
ICT Asset & Configuration Management,Configuration drift,Draft,Risk Owner F,Control Owner 5,Grey,Grey,18,,Not implemented,,CTRL-1012,LocPol — Configuration drift monitoring [LP-01 PS02],Anonymised control operationalising LP-01 PS02.
