DisplayOrder,DORA_Chapter,DORA_Section,DORA_URL,DORA_Article_Index,DORA_Title,Article Applicable,RTS_Title,RTS_Chapter,RTS_Section,RTS_URL,RTS_Article_Index,RTS_Article_Title,RTS Applicable
1.00,chapter II - ICT risk management,section I,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_5,article 5,Governance and organisation,Y,,,,,,,
2.00,chapter II - ICT risk management,section II,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_6,article 6,ICT risk management framework,N,"TITLE II - FURTHER HARMONISATION OF ICT RISK MANAGEMENT TOOLS, METHODS, PROCESSES AND POLICIES IN ACCORDANCE WITH ARTICLE 15 OF REGULATION (EU) 2022/2579",CHAPTER V - REPORT ON THE ICT RISK MANAGEMENT FRAMEWORK REVIEW,,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=OJ:L_202401774#art_27,RTS 27,Format and content,
3.00,chapter II - ICT risk management,section II,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_7,article 7,"ICT systems, protocols and tools",N,,,,,,,
4.00,chapter II - ICT risk management,section II,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_8,article 8,Identification,N,,,,,,,
5.00,chapter II - ICT risk management,section II,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_9,article 9,Protection and prevention,N,"TITLE II - FURTHER HARMONISATION OF ICT RISK MANAGEMENT TOOLS, METHODS, PROCESSES AND POLICIES IN ACCORDANCE WITH ARTICLE 15 OF REGULATION (EU) 2022/2554","CHAPTER I - ICT SECURITY POLICIES, PROCEDURES, PROTOCOLS, AND TOOLS",SECTION I,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=OJ:L_202401774#art_2,RTS 2,General elements of ICT security policies,
6.00,chapter II - ICT risk management,section II,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_9,article 9,Protection and prevention,N,"TITLE II - FURTHER HARMONISATION OF ICT RISK MANAGEMENT TOOLS, METHODS, PROCESSES AND POLICIES IN ACCORDANCE WITH ARTICLE 15 OF REGULATION (EU) 2022/2555","CHAPTER I - ICT SECURITY POLICIES, PROCEDURES, PROTOCOLS, AND TOOLS",SECTION II,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=OJ:L_202401774#art_3,RTS 3,ICT risk management,
7.00,chapter II - ICT risk management,section II,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_9,article 9,Protection and prevention,N,"TITLE II - FURTHER HARMONISATION OF ICT RISK MANAGEMENT TOOLS, METHODS, PROCESSES AND POLICIES IN ACCORDANCE WITH ARTICLE 15 OF REGULATION (EU) 2022/2556","CHAPTER I - ICT SECURITY POLICIES, PROCEDURES, PROTOCOLS, AND TOOLS",SECTION III - ICT ASSET MANAGEMENT,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=OJ:L_202401774#art_4,RTS 4,ICT asset management policy,Y
8.00,chapter II - ICT risk management,section II,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_9,article 9,Protection and prevention,N,"TITLE II - FURTHER HARMONISATION OF ICT RISK MANAGEMENT TOOLS, METHODS, PROCESSES AND POLICIES IN ACCORDANCE WITH ARTICLE 15 OF REGULATION (EU) 2022/2557","CHAPTER I - ICT SECURITY POLICIES, PROCEDURES, PROTOCOLS, AND TOOLS",SECTION III - ICT ASSET MANAGEMENT,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=OJ:L_202401774#art_5,RTS 5,ICT asset management procedure,Y
9.00,chapter II - ICT risk management,section II,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_9,article 9,Protection and prevention,N,"TITLE II - FURTHER HARMONISATION OF ICT RISK MANAGEMENT TOOLS, METHODS, PROCESSES AND POLICIES IN ACCORDANCE WITH ARTICLE 15 OF REGULATION (EU) 2022/2558","CHAPTER I - ICT SECURITY POLICIES, PROCEDURES, PROTOCOLS, AND TOOLS",SECTION IV - ENCRYPTION AND CRYPTOGRAPHY,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=OJ:L_202401774#art_6,RTS 6,Encryption and cryptographic controls,N
10.00,chapter II - ICT risk management,section II,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_9,article 9,Protection and prevention,N,"TITLE II - FURTHER HARMONISATION OF ICT RISK MANAGEMENT TOOLS, METHODS, PROCESSES AND POLICIES IN ACCORDANCE WITH ARTICLE 15 OF REGULATION (EU) 2022/2559","CHAPTER I - ICT SECURITY POLICIES, PROCEDURES, PROTOCOLS, AND TOOLS",SECTION IV - ENCRYPTION AND CRYPTOGRAPHY,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=OJ:L_202401774#art_7,RTS 7,Cryptographic key management,N
